id,created_at,updated_at,partner_type,lead_sales_contact
2,1.59885646632248E+018,1.60704667282386E+018,Agent,Potato
3,1.59885942975983E+018,1.61888226298919E+018,Agent,Lion
4,1.59885949669888E+018,1.61664185606532E+018,Agent,Potato
5,1.59885979628143E+018,1.60733058108664E+018,Agent,Lion
6,1.59886553313367E+018,1.6097431178229E+018,Agent,Potato
7,1.59886644094854E+018,1.61371947398416E+018,Agent,Lion
8,1.59910518670369E+018,1.60733057541507E+018,Agent,Lion
9,1.60014396583957E+018,1.61293863112435E+018,Agent,Daisy
10,1.60014430511289E+018,1.61293863998855E+018,IFA,Apple
11,1.60014695667116E+018,1.60733057052377E+018,Agent,Lion
12,1.60014711507708E+018,1.61258884793575E+018,Agent,Lion
13,1.60031280596781E+018,1.61113247359579E+018,Agent,Lion
14,1.60031613581373E+018,1.61166728536656E+018,IFA,Apple
15,1.6003171725144E+018,1.60735995242903E+018,Developer,Leaf
16,1.60031970442114E+018,1.6073305600006E+018,Agent,Lion
17,1.6006512787281E+018,1.60741304183965E+018,IFA,Apple
18,1.60067053277081E+018,1.61059020265667E+018,Agent,Potato
19,1.60075195576724E+018,1.60733055669013E+018,Agent,Lion
20,1.60077135136871E+018,1.60975222821111E+018,Agent,Potato
21,1.60094113252797E+018,1.60094151203606E+018,Other,0
22,1.60094121993275E+018,1.60094150736118E+018,Other,0
23,1.60094135393724E+018,1.60094150185878E+018,Other,0
24,1.60094140371239E+018,1.60094149601211E+018,Other,0
25,1.60134448150734E+018,1.60704669996221E+018,Agent,Potato
26,1.60138924384099E+018,1.61044370777651E+018,Agent,Leaf
27,1.60151545998495E+018,1.60704670765384E+018,Agent,Potato
28,1.60153967784503E+018,1.60972659521998E+018,Agent,Potato
29,1.60154008112893E+018,1.61166730451747E+018,Agent,Apple
30,1.60154069537926E+018,1.6116672982138E+018,Other,Apple
31,1.60154096602534E+018,1.61166731171931E+018,IFA,Apple
32,1.60154111655938E+018,1.61024955380155E+018,IFA,Apple
33,1.60187261688344E+018,1.60733054311601E+018,Agent,Lion
34,1.6018887445593E+018,1.60704671687326E+018,Agent,Potato
35,1.60247808477227E+018,1.61128105668547E+018,Developer,Apple
36,1.60252007752931E+018,1.607080768999E+018,Agent,Leaf
37,1.60264166215116E+018,1.6099204164074E+018,Agent,Potato
38,1.60275986505921E+018,1.60704672358575E+018,Agent,Potato
39,1.60284209498516E+018,1.62011862637176E+018,Agent,Lion
40,1.60307773970727E+018,1.60975226933059E+018,Agent,Apple
41,1.6032885098331E+018,1.6070807753607E+018,Agent,Leaf
42,1.60334301877216E+018,1.61166731962755E+018,Developer,Apple
43,1.60372349970891E+018,1.60733052462981E+018,Agent,Lion
44,1.60373143013462E+018,1.60708077964988E+018,Agent,Leaf
45,1.60393984999353E+018,1.60704673618566E+018,Other,Potato
46,1.60395457031508E+018,1.61166733363878E+018,Developer,Apple
47,1.60395631210259E+018,1.60733051813525E+018,Agent,Lion
48,1.60395648859818E+018,1.60733051342663E+018,Agent,Lion
49,1.60395677043392E+018,1.60733050563502E+018,Agent,Lion
50,1.60401321069935E+018,1.60702262668684E+018,Agent,Daisy
51,1.6040135590332E+018,1.60744571416042E+018,Agent,Daisy
52,1.60401490723661E+018,1.60744570828936E+018,Agent,Daisy
53,1.60431009592378E+018,1.61166732887329E+018,Agent,Potato
54,1.60438305196634E+018,1.60733049582891E+018,Agent,Lion
55,1.60500014700048E+018,1.60744570174794E+018,Lender,Daisy
56,1.60516815024804E+018,1.60733048223878E+018,Developer,Lion
57,1.60525587672594E+018,1.60733047536914E+018,Agent,Lion
58,1.60525592519506E+018,1.60733046971502E+018,Agent,Lion
59,1.60545112752629E+018,1.60733046407065E+018,IFA,Lion
60,1.60562206418767E+018,1.6172477620524E+018,Agent,Leaf
61,1.60567200659731E+018,1.60733045909636E+018,Developer,Lion
62,1.60570534635334E+018,1.60708079415323E+018,Agent,Leaf
63,1.60587340730933E+018,1.61297139412764E+018,Lender,Apple
64,1.60587409635562E+018,1.60973539350228E+018,Agent,Lion
65,1.60587508994034E+018,1.60708080021811E+018,Agent,Leaf
66,1.60592669743937E+018,1.60733044779966E+018,Agent,Lion
67,1.60594322390936E+018,1.62020491512849E+018,IFA,Potato
68,1.60594378672624E+018,1.60744568531609E+018,Developer,Daisy
69,1.60602611001717E+018,1.61293869871575E+018,Agent,Apple
70,1.60609833417327E+018,1.60704675747212E+018,Agent,Potato
71,1.60609974016379E+018,1.60733044077569E+018,Agent,Lion
72,1.6061012496124E+018,1.60733043211324E+018,Agent,Lion
73,1.60611017727948E+018,1.61297140453143E+018,IFA,Potato
74,1.60611107415125E+018,1.61406231885422E+018,Agent,Lion
75,1.60611165383436E+018,1.6129714144718E+018,Agent,Apple
76,1.60611168403858E+018,1.61277332801729E+018,Agent,Root
77,1.60611175476E+018,1.60704676729285E+018,Agent,Potato
78,1.60611178390827E+018,1.60704677126027E+018,Agent,Potato
79,1.60611182580119E+018,1.60704677711765E+018,Agent,Potato
80,1.60611236251748E+018,1.60744567085885E+018,Agent,Daisy
81,1.60611437646538E+018,1.61180414974817E+018,Agent,Apple
82,1.60611992736002E+018,1.61297142201451E+018,Developer,Apple
83,1.60619097838815E+018,1.60733040441188E+018,Agent,Lion
84,1.60619194118981E+018,1.60619201998739E+018,IFA,0
85,1.60619209731588E+018,1.60704678325226E+018,Agent,Potato
86,1.60619308773293E+018,1.60982977736629E+018,Developer,Potato
87,1.60619339270688E+018,1.60982978538923E+018,Management company,Potato
88,1.60619395486639E+018,1.60972859382728E+018,Agent,Potato
89,1.6061942004258E+018,1.60704896177007E+018,Management company,Lion
90,1.60619433947937E+018,1.60704678950365E+018,Management company,Potato
91,1.60619873265488E+018,1.61845834049058E+018,Agent,Potato
92,1.60619993449778E+018,1.61880299007077E+018,Agent,Root
93,1.6062014360522E+018,1.61297147325234E+018,Agent,Potato
94,1.6062026362383E+018,1.6123209635159E+018,Agent,Root
95,1.60627975969313E+018,1.61242149668247E+018,Agent,Tree
96,1.60681984306211E+018,1.60708082092001E+018,Other,Leaf
97,1.60682002896011E+018,1.60708082533464E+018,Other,Leaf
98,1.60694575605094E+018,1.60769117933749E+018,IFA,Daisy
99,1.6069584288368E+018,1.61482471486695E+018,Developer,Potato
100,1.60705781990683E+018,1.60705781990683E+018,Agent,Lion
101,1.607081126056E+018,1.607081126056E+018,Other,Leaf
102,1.60708131925627E+018,1.60708131925627E+018,Agent,Leaf
103,1.60732412835277E+018,1.60732412835277E+018,Agent,Tree
104,1.60732668307108E+018,1.60765912975994E+018,Agent,Potato
105,1.60732930199049E+018,1.60732996916312E+018,IFA,Potato
106,1.60733033126032E+018,1.60733033126032E+018,Agent,Lion
107,1.60735697019566E+018,1.60735697019566E+018,Agent,Leaf
108,1.60735871843451E+018,1.60735871843451E+018,Agent,Leaf
109,1.60735879377436E+018,1.60735879377436E+018,Agent,Leaf
111,1.60739504506316E+018,1.60739504506316E+018,Agent,Tree
112,1.60741292721173E+018,1.60741292721173E+018,Agent,Potato
113,1.60746746667987E+018,1.60746746667987E+018,Other,Daisy
114,1.60746751154532E+018,1.60746751154532E+018,Agent,Daisy
115,1.60746754278793E+018,1.60746754278793E+018,Agent,Daisy
116,1.60746760025406E+018,1.60746760025406E+018,Other,Daisy
117,1.607467667866E+018,1.607467667866E+018,Agent,Daisy
118,1.60748556362759E+018,1.60748556362759E+018,Agent,Lion
119,1.60748660038349E+018,1.6074866709939E+018,Agent,Potato
120,1.60750023389652E+018,1.60750023389652E+018,Agent,Tree
121,1.60756485394588E+018,1.60756485394588E+018,Agent,Potato
122,1.60756582026175E+018,1.60756582026175E+018,Management company,Tree
123,1.60757136559254E+018,1.61284178682874E+018,Agent,Root
124,1.60757154174895E+018,1.61888505070619E+018,Agent,Root
125,1.60757169691652E+018,1.61949427711166E+018,Agent,Sky
126,1.60757172625174E+018,1.61888585201714E+018,Agent,Root
127,1.6077499640721E+018,1.6077499640721E+018,Agent,Apple
128,1.60807100506855E+018,1.60807100506855E+018,Agent,Daisy
129,1.60807116001059E+018,1.60807117482709E+018,IFA,Daisy
130,1.6080997737319E+018,1.6080997737319E+018,Lender,Tree
131,1.60810036486896E+018,1.61890271112291E+018,Management company,Root
132,1.60819202301316E+018,1.60819205231425E+018,Agent,Lion
133,1.60825775347101E+018,1.61888841555656E+018,Agent,Root
134,1.60851338460908E+018,1.60851400359444E+018,Agent,Tree
135,1.60861051665849E+018,1.60861069060211E+018,Agent,Apple
136,1.60861231724273E+018,1.60861231724273E+018,Agent,Potato
137,1.60972515400479E+018,1.60972515400479E+018,Agent,Lion
138,1.60973467079628E+018,1.61104443255077E+018,Agent,Lion
139,1.60974907489655E+018,1.61888862323624E+018,Developer,Root
140,1.60982141074912E+018,1.60982141074912E+018,Agent,Potato
141,1.60985340296482E+018,1.61097804822857E+018,Agent,Tulip
142,1.60991551729488E+018,1.60991551729488E+018,Agent,Potato
143,1.60991553322536E+018,1.60991609430364E+018,Agent,Potato
144,1.60991554547342E+018,1.60991554547342E+018,Agent,Potato
145,1.60992254522641E+018,1.60992254522641E+018,Agent,Potato
146,1.60992994083716E+018,1.6109991787872E+018,Developer,Daisy
147,1.60995159123102E+018,1.60995159123102E+018,IFA,Leaf
148,1.60999030444547E+018,1.60999030444547E+018,Agent,Lion
149,1.6099928012185E+018,1.6099928012185E+018,Management company,Potato
150,1.60999499694351E+018,1.60999499694351E+018,Developer,Apple
151,1.61000789287416E+018,1.61000789287416E+018,Developer,Potato
152,1.61006714319904E+018,1.62002984712027E+018,Agent,Sky
153,1.61007737968082E+018,1.61007737968082E+018,Developer,Potato
154,1.61008148337087E+018,1.61008148337087E+018,Lender,Potato
155,1.61009298795158E+018,1.61854634415381E+018,IFA,Potato
156,1.61034375670869E+018,1.61890295066376E+018,Agent,Root
157,1.6103457244249E+018,1.61034577211354E+018,Agent,Apple
158,1.61034576406032E+018,1.61034700965946E+018,Agent,Potato
159,1.6103469955223E+018,1.61034704063413E+018,Agent,Potato
160,1.61034739300278E+018,1.61034739300278E+018,Agent,Potato
161,1.6103586867276E+018,1.61371866875655E+018,Agent,Potato
162,1.61035947520038E+018,1.61035947520038E+018,Agent,Daisy
163,1.61043835229466E+018,1.61043835229466E+018,Agent,Apple
164,1.61043967437352E+018,1.61043967437352E+018,Other,Apple
165,1.6104489538466E+018,1.61044930854261E+018,Agent,Potato
166,1.61050453795247E+018,1.61050453795247E+018,IFA,Tree
167,1.61052275965094E+018,1.61052275965094E+018,Developer,Potato
168,1.61052290416342E+018,1.61052290416342E+018,Developer,Apple
169,1.61053743735049E+018,1.61287317835E+018,Agent,Daisy
170,1.61059022066709E+018,1.61059022066709E+018,Agent,Potato
171,1.61061780684981E+018,1.61061780684981E+018,IFA,Leaf
172,1.61061896724185E+018,1.61061896724185E+018,Agent,Lion
173,1.61066964251362E+018,1.61066964251362E+018,IFA,Daisy
174,1.61067639768229E+018,1.61067639768229E+018,Other,Tree
175,1.61093215199697E+018,1.61093215199697E+018,Developer,Tree
176,1.6109335210725E+018,1.6109335210725E+018,Developer,Tree
177,1.61094506003855E+018,1.61094506003855E+018,Other,Apple
178,1.61096166541868E+018,1.61096166541868E+018,Agent,Apple
179,1.6110376641418E+018,1.6110376641418E+018,Agent,Root
180,1.61103783947079E+018,1.61103783947079E+018,Agent,Root
181,1.61103807376581E+018,1.61103807376581E+018,Agent,Root
182,1.61103827042527E+018,1.61103827042527E+018,Agent,Root
183,1.61103847299745E+018,1.61103847299745E+018,Agent,Root
184,1.61105223392388E+018,1.61105223392388E+018,Agent,Root
185,1.61105248957395E+018,1.61105248957395E+018,Agent,Root
186,1.61110701606679E+018,1.61110701606679E+018,IFA,Apple
187,1.61111620972717E+018,1.61111623436257E+018,Agent,Root
188,1.61113062672142E+018,1.61113062672142E+018,Agent,Root
189,1.6111317441465E+018,1.6111317441465E+018,Developer,Root
190,1.6111369892672E+018,1.6111369892672E+018,Agent,Root
191,1.61113859062298E+018,1.61113859062298E+018,Insurer,Tulip
192,1.61119367568597E+018,1.61119367568597E+018,Agent,Tree
193,1.6111937160363E+018,1.6111937160363E+018,Agent,Root
194,1.61119415760031E+018,1.61119415760031E+018,Agent,Root
195,1.6111971175609E+018,1.61121561395833E+018,Agent,Root
196,1.61121876186134E+018,1.61121876186134E+018,Agent,Root
197,1.61127803627401E+018,1.61215714682036E+018,Agent,Daisy
198,1.61127977305874E+018,1.61127991784274E+018,Agent,Daisy
199,1.61130632248107E+018,1.61430255947474E+018,Agent,Potato
200,1.61131964216711E+018,1.61131970638462E+018,Agent,Daisy
201,1.61138153085212E+018,1.61138153085212E+018,Other,Tulip
202,1.61138430432853E+018,1.61138430432853E+018,Developer,Apple
203,1.6113847300771E+018,1.6113847300771E+018,Agent,Apple
204,1.61138566676618E+018,1.61138566676618E+018,Developer,Apple
205,1.61138664234676E+018,1.61138664234676E+018,Other,Apple
206,1.61154222049419E+018,1.61154222049419E+018,Developer,Potato
207,1.61154455565613E+018,1.61154455565613E+018,Agent,Root
208,1.61154683258299E+018,1.61154683258299E+018,Agent,Lion
209,1.61155931907109E+018,1.61155931907109E+018,Agent,Root
210,1.61156711738228E+018,1.61156711738228E+018,Agent,Root
211,1.61156799860788E+018,1.61156799860788E+018,Agent,Root
212,1.61159100647668E+018,1.61159144280831E+018,Agent,Daisy
213,1.61159155601085E+018,1.61168659392273E+018,Lender,Daisy
214,1.61159657576171E+018,1.61159657576171E+018,Agent,Daisy
215,1.61159673707433E+018,1.61159673707433E+018,IFA,Daisy
216,1.61160733520028E+018,1.61160733520028E+018,IFA,Daisy
217,1.6116073412851E+018,1.6116073412851E+018,Agent,Daisy
218,1.61162308673223E+018,1.61162308673223E+018,Other,Daisy
219,1.61166217721788E+018,1.61166217721788E+018,Agent,Root
220,1.61166225082488E+018,1.61166225082488E+018,Other,Root
221,1.611662866928E+018,1.611662866928E+018,Agent,Root
222,1.61166292717469E+018,1.61166292717469E+018,Agent,Root
223,1.61166297985475E+018,1.61166297985475E+018,Agent,Root
224,1.61166305944762E+018,1.61975056520716E+018,Agent,Sky
225,1.61172509422214E+018,1.61172509422214E+018,Agent,Apple
226,1.61173131639746E+018,1.61888840204189E+018,Agent,Root
227,1.61173304037718E+018,1.6140454393997E+018,Agent,Root
228,1.6117351535189E+018,1.6117351535189E+018,Agent,Root
229,1.61175571797234E+018,1.61175571797234E+018,Insurer,Root
230,1.61179841412358E+018,1.61179864480854E+018,Agent,Leaf
231,1.61192924743942E+018,1.61192924743942E+018,IFA,Leaf
232,1.61215740463145E+018,1.6121651722459E+018,Agent,Potato
233,1.61215896250841E+018,1.61215896250841E+018,Other,Apple
234,1.61216422786873E+018,1.61216430302087E+018,Agent,Potato
235,1.61216514561358E+018,1.61216514561358E+018,Other,Potato
236,1.61217211404451E+018,1.61217211404451E+018,Agent,Root
237,1.61219387869677E+018,1.61219387869677E+018,Agent,Root
238,1.61223974074034E+018,1.6189033851178E+018,Agent,Root
239,1.61225277953533E+018,1.61225277953533E+018,Agent,Tree
240,1.61229448240929E+018,1.61229448240929E+018,Agent,Daisy
241,1.61231637534476E+018,1.61785246967664E+018,Agent,Root
242,1.61232045897625E+018,1.61234225420928E+018,Agent,Root
243,1.61240992283214E+018,1.61240992283214E+018,Agent,Tree
244,1.61241009255221E+018,1.61241528760633E+018,Agent,Potato
245,1.61241632717197E+018,1.61457041008244E+018,Agent,Potato
246,1.61241951233252E+018,1.61241952643397E+018,Other,Potato
247,1.61242031101776E+018,1.61242031101776E+018,Agent,Potato
248,1.61242150939342E+018,1.61242150939342E+018,Agent,Potato
249,1.61242511959924E+018,1.61242511959924E+018,Agent,Potato
250,1.61242544124668E+018,1.6124259728239E+018,Agent,Potato
251,1.61248722744905E+018,1.61248722744905E+018,Agent,Tree
252,1.61251586137483E+018,1.61785958239072E+018,Agent,Root
253,1.61260340814976E+018,1.61260340814976E+018,Agent,Lion
254,1.61266363637338E+018,1.61266363637338E+018,Lender,Daisy
255,1.61274965262964E+018,1.61785191142204E+018,Agent,Root
256,1.61275617451849E+018,1.61275617451849E+018,Agent,Potato
257,1.61275646322828E+018,1.61275646322828E+018,Agent,Potato
258,1.61275771129613E+018,1.6127577977445E+018,Agent,Potato
259,1.61276319887321E+018,1.61276319887321E+018,Agent,Potato
260,1.61276492481341E+018,1.61276492481341E+018,Agent,Potato
261,1.61277602144616E+018,1.61277602144616E+018,Agent,Potato
262,1.61284181415098E+018,1.61284181415098E+018,Agent,Root
263,1.6128418418061E+018,1.61900697703908E+018,Agent,Leaf
